date,year,month_num,month,quarter,is_festive_season,city,state,program,campaign,donor_type,channel,donation_amount,expense_amount,beneficiaries_reached,volunteer_hours,event_count,new_donors,recurring_donors,social_reach,engagement_rate,cost_per_beneficiary
2024-10-01,2024,10,Oct,Q4,1,Patna,Bihar,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,57980,21076,192,52.3,2,13,6,10842,7.5,109.53
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,48564,29036,153,58.5,2,9,4,8091,9.78,190.18
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,35518,31999,236,89.3,2,8,4,9340,7.41,135.32
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,32239,18916,182,58.2,2,8,2,6356,8.54,103.8
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,40349,21616,170,47.8,2,7,3,8508,5.65,126.81
2024-10-01,2024,10,Oct,Q4,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,56045,21594,178,53.7,2,14,7,8947,8.93,121.23
2024-11-01,2024,11,Nov,Q4,1,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,69386,40176,244,105.2,3,11,5,13540,4.15,164.61
2024-11-01,2024,11,Nov,Q4,1,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,76802,50564,349,101.0,4,20,7,16221,4.31,145.09
2024-11-01,2024,11,Nov,Q4,1,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Online Portal,67974,25884,282,78.4,3,14,6,10198,6.72,91.78
2024-11-01,2024,11,Nov,Q4,1,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,64211,33088,259,67.3,4,11,4,13124,5.26,127.84
2024-11-01,2024,11,Nov,Q4,1,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,44924,30423,307,83.9,3,9,3,13019,9.77,99.08
2024-11-01,2024,11,Nov,Q4,1,Delhi,Delhi,Education Support,Back to School Drive,Individual,Online Portal,65038,44365,193,81.6,2,15,7,8918,8.04,229.52
2024-11-01,2024,11,Nov,Q4,1,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,Bank Transfer,84960,49506,351,109.3,4,15,6,16041,3.52,140.89
2024-11-01,2024,11,Nov,Q4,1,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,43580,26187,224,55.7,3,8,3,9662,3.26,117.13
2024-11-01,2024,11,Nov,Q4,1,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,UPI,47321,31902,216,58.7,2,11,5,7805,3.95,147.74
2024-11-01,2024,11,Nov,Q4,1,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,48030,31959,289,98.0,3,10,3,11152,9.21,110.72
2024-11-01,2024,11,Nov,Q4,1,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Online Portal,91933,35675,154,64.9,1,17,5,10354,6.58,231.07
2024-11-01,2024,11,Nov,Q4,1,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Community Group,UPI,63558,39311,292,109.6,4,16,8,14047,8.82,134.72
2024-11-01,2024,11,Nov,Q4,1,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,40869,23843,189,60.6,3,10,4,7421,9.1,126.23
2024-11-01,2024,11,Nov,Q4,1,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Fundraising Event,45050,27997,173,47.9,2,7,2,7593,8.81,161.69
2024-11-01,2024,11,Nov,Q4,1,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,Bank Transfer,43390,23287,239,80.4,3,9,4,10504,7.68,97.5
2024-11-01,2024,11,Nov,Q4,1,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,56120,33908,169,70.4,2,9,4,8691,9.06,201.1
2024-11-01,2024,11,Nov,Q4,1,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,UPI,40639,37808,245,84.2,2,8,3,11142,7.62,154.28
2024-11-01,2024,11,Nov,Q4,1,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,37600,20463,205,61.5,2,9,4,9348,7.25,99.69
2024-11-01,2024,11,Nov,Q4,1,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,35291,24247,177,48.7,2,8,3,6563,6.55,136.9
2024-11-01,2024,11,Nov,Q4,1,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,59594,23153,193,62.4,2,10,4,8429,6.48,119.66
2024-11-01,2024,11,Nov,Q4,1,Patna,Bihar,Education Support,Back to School Drive,Corporate CSR,UPI,80344,29893,134,54.9,1,13,6,10739,6.91,223.58
2024-11-01,2024,11,Nov,Q4,1,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,76031,31110,232,68.4,3,15,6,11802,7.54,134.15
2024-11-01,2024,11,Nov,Q4,1,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,53970,17361,188,51.0,2,9,4,8637,3.9,92.2
2024-11-01,2024,11,Nov,Q4,1,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Community Group,Online Portal,36441,23598,176,47.4,2,8,4,6968,6.22,133.76
2024-11-01,2024,11,Nov,Q4,1,Patna,Bihar,Health Awareness,Community Wellness Camp,Community Group,Fundraising Event,37135,23534,190,62.0,2,7,3,8136,9.51,123.87
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Online Portal,39587,27779,151,54.7,2,7,3,7911,7.77,184.09
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,33694,32180,233,71.2,2,7,3,9119,4.84,138.08
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,37176,16562,166,45.7,2,7,2,7605,8.88,100.04
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Bank Transfer,47530,20198,160,46.9,2,8,3,8973,6.53,126.28
2024-11-01,2024,11,Nov,Q4,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,55835,20460,193,58.3,2,10,4,10509,6.72,105.87
2024-12-01,2024,12,Dec,Q4,1,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Online Portal,97000,39227,225,73.5,2,22,10,12254,5.09,174.7
2024-12-01,2024,12,Dec,Q4,1,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,63853,51802,332,91.2,3,15,7,14569,8.91,155.9
2024-12-01,2024,12,Dec,Q4,1,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Online Portal,61236,29460,284,75.1,3,10,4,13992,9.64,103.76
2024-12-01,2024,12,Dec,Q4,1,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,UPI,43331,33706,227,76.7,2,7,3,9806,7.47,148.38
2024-12-01,2024,12,Dec,Q4,1,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,Bank Transfer,66639,30454,320,83.8,3,15,5,13293,5.69,95.31
2024-12-01,2024,12,Dec,Q4,1,Delhi,Delhi,Education Support,Back to School Drive,Individual,Fundraising Event,63321,39077,217,76.0,2,15,5,9869,3.54,180.09
2024-12-01,2024,12,Dec,Q4,1,Delhi,Delhi,Food Distribution,Meal Support Campaign,Alumni Network,Fundraising Event,61760,45740,341,121.0,4,14,5,10973,6.53,134.17
2024-12-01,2024,12,Dec,Q4,1,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,45771,25076,232,62.3,3,10,5,9494,9.78,108.11
2024-12-01,2024,12,Dec,Q4,1,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Community Group,UPI,51809,29796,222,71.8,2,12,3,11012,5.72,134.28
2024-12-01,2024,12,Dec,Q4,1,Delhi,Delhi,Health Awareness,Community Wellness Camp,Community Group,UPI,57418,28892,273,91.0,3,12,6,11099,3.49,105.83
2024-12-01,2024,12,Dec,Q4,1,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Bank Transfer,68849,31973,159,68.2,2,13,6,8820,7.35,200.95
2024-12-01,2024,12,Dec,Q4,1,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Online Portal,53117,42175,260,94.9,3,11,5,8888,7.73,162.16
2024-12-01,2024,12,Dec,Q4,1,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,38067,21035,188,48.9,3,7,3,7396,6.18,112.18
2024-12-01,2024,12,Dec,Q4,1,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,34847,26646,205,66.2,2,6,3,8474,3.68,130.18
2024-12-01,2024,12,Dec,Q4,1,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Alumni Network,UPI,41420,25966,240,65.3,2,9,4,7403,4.23,108.38
2024-12-01,2024,12,Dec,Q4,1,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,58448,30559,180,69.7,2,10,5,10252,7.48,169.65
2024-12-01,2024,12,Dec,Q4,1,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Alumni Network,UPI,48696,33869,263,71.5,3,9,5,9554,8.14,128.65
2024-12-01,2024,12,Dec,Q4,1,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Fundraising Event,39299,21937,216,54.1,3,7,2,7124,7.63,101.65
2024-12-01,2024,12,Dec,Q4,1,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,67195,26583,201,61.2,2,15,4,9123,7.99,132.58
2024-12-01,2024,12,Dec,Q4,1,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,61051,22202,219,59.8,3,14,6,9746,7.55,101.29
2024-12-01,2024,12,Dec,Q4,1,Patna,Bihar,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,86890,28641,148,53.6,2,19,6,11362,6.08,193.45
2024-12-01,2024,12,Dec,Q4,1,Patna,Bihar,Food Distribution,Meal Support Campaign,Community Group,Bank Transfer,53532,33906,231,73.6,2,11,3,10547,3.74,146.69
2024-12-01,2024,12,Dec,Q4,1,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,40765,20047,167,49.4,2,7,3,7750,8.56,120.22
2024-12-01,2024,12,Dec,Q4,1,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Bank Transfer,63528,22876,170,61.2,2,11,4,8621,8.3,134.6
2024-12-01,2024,12,Dec,Q4,1,Patna,Bihar,Health Awareness,Community Wellness Camp,Community Group,Fundraising Event,38800,20128,196,54.8,3,9,5,9436,7.72,102.89
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Community Group,Bank Transfer,56661,29889,130,50.9,1,10,4,7556,4.64,229.29
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,61632,32611,209,68.1,2,13,7,11420,3.46,156.23
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,61023,18939,170,53.5,2,12,4,9573,5.61,111.67
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,53634,22691,150,46.7,2,9,4,8038,7.19,150.8
2024-12-01,2024,12,Dec,Q4,1,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,54081,20315,168,45.9,2,13,6,9402,7.56,120.64
2025-01-01,2025,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Individual,Fundraising Event,68612,42532,223,74.9,3,12,3,9445,6.99,190.47
2025-01-01,2025,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,59094,45894,320,118.3,3,12,6,13310,9.0,143.41
2025-01-01,2025,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,64602,28188,245,69.0,3,15,6,9863,7.05,115.06
2025-01-01,2025,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Fundraising Event,48794,35263,257,82.0,4,10,3,8247,6.65,137.18
2025-01-01,2025,1,Jan,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Alumni Network,Online Portal,52130,29485,294,97.7,3,9,4,12580,3.82,100.37
2025-01-01,2025,1,Jan,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Corporate CSR,UPI,114728,41749,229,85.6,3,29,12,14069,8.5,182.17
2025-01-01,2025,1,Jan,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Community Group,Online Portal,59932,50166,364,131.2,4,12,4,15274,9.21,137.88
2025-01-01,2025,1,Jan,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,42303,27483,219,52.0,2,8,3,7741,8.51,125.72
2025-01-01,2025,1,Jan,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Individual,UPI,37861,29603,242,83.6,3,8,3,9670,8.18,122.18
2025-01-01,2025,1,Jan,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Individual,Online Portal,39206,29764,276,94.1,3,7,3,8291,8.9,107.88
2025-01-01,2025,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,51440,32110,190,63.8,2,11,5,9444,7.86,169.04
2025-01-01,2025,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,UPI,46509,39137,309,103.5,4,10,4,11826,7.98,126.74
2025-01-01,2025,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Online Portal,41970,23084,214,62.9,2,7,3,8430,4.53,107.74
2025-01-01,2025,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Fundraising Event,54539,26284,212,69.7,2,10,4,10151,9.64,124.16
2025-01-01,2025,1,Jan,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,38708,24723,220,66.5,2,7,2,7070,5.08,112.19
2025-01-01,2025,1,Jan,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Community Group,Fundraising Event,56185,29872,180,76.8,2,12,3,8059,6.54,166.31
2025-01-01,2025,1,Jan,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,Fundraising Event,64031,36226,234,69.8,2,11,4,10737,5.69,154.82
2025-01-01,2025,1,Jan,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Bank Transfer,62929,20225,220,61.7,2,16,5,9001,7.38,91.95
2025-01-01,2025,1,Jan,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Alumni Network,Bank Transfer,37154,23421,176,55.1,2,8,3,7043,8.14,132.81
2025-01-01,2025,1,Jan,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,32961,24890,202,54.9,2,6,3,7601,4.52,122.97
2025-01-01,2025,1,Jan,Q1,0,Patna,Bihar,Education Support,Back to School Drive,Community Group,Fundraising Event,50463,28011,142,54.8,2,12,6,8017,7.58,197.04
2025-01-01,2025,1,Jan,Q1,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,UPI,67914,32549,235,86.3,2,13,4,10108,8.24,138.48
2025-01-01,2025,1,Jan,Q1,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Online Portal,51142,17421,186,58.2,2,10,4,8418,7.73,93.47
2025-01-01,2025,1,Jan,Q1,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Individual,UPI,31626,23288,167,43.2,2,6,2,6939,4.91,139.65
2025-01-01,2025,1,Jan,Q1,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,49086,20978,221,58.1,2,10,5,8916,5.84,94.95
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Individual,Bank Transfer,46634,28924,151,59.9,1,9,4,6770,8.48,191.97
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Community Group,Online Portal,45210,31315,206,77.9,2,9,4,9664,5.18,151.71
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,UPI,49811,16197,178,55.9,2,9,3,7958,5.58,90.85
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Fundraising Event,45220,20290,153,50.0,2,9,4,7530,9.66,132.78
2025-01-01,2025,1,Jan,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,30021,20973,182,60.3,2,7,3,5836,4.31,115.23
2025-02-01,2025,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Community Group,Fundraising Event,80168,41991,233,97.8,3,17,6,12830,7.89,180.6
2025-02-01,2025,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,87926,52413,350,108.5,4,14,5,13963,3.35,149.61
2025-02-01,2025,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Fundraising Event,66566,25472,281,71.1,4,16,8,12512,3.37,90.61
2025-02-01,2025,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Individual,UPI,40504,30130,254,89.7,3,9,4,9241,4.03,118.61
2025-02-01,2025,2,Feb,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Bank Transfer,68726,33584,300,82.9,3,11,5,11832,6.14,111.99
2025-02-01,2025,2,Feb,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Alumni Network,Bank Transfer,69754,42571,212,88.4,2,13,5,12290,6.38,200.74
2025-02-01,2025,2,Feb,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Individual,UPI,51899,44519,326,98.9,5,9,4,11333,6.3,136.6
2025-02-01,2025,2,Feb,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,51918,23867,252,70.0,3,12,3,9866,5.92,94.7
2025-02-01,2025,2,Feb,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,67651,31949,248,84.8,3,17,7,11647,8.48,129.02
2025-02-01,2025,2,Feb,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,70249,31641,291,83.0,3,16,6,13475,7.28,108.74
2025-02-01,2025,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Individual,Online Portal,49502,31424,158,59.2,2,12,4,8456,8.0,199.1
2025-02-01,2025,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,38951,38806,264,93.7,3,8,4,7602,3.73,147.04
2025-02-01,2025,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Community Group,Bank Transfer,42537,20425,230,64.8,3,7,3,10277,4.0,88.75
2025-02-01,2025,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Community Group,Bank Transfer,42923,25011,223,80.2,3,8,2,9523,4.58,112.13
2025-02-01,2025,2,Feb,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Individual,Fundraising Event,41450,26346,210,66.5,2,10,4,7808,5.58,125.75
2025-02-01,2025,2,Feb,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Bank Transfer,55456,31152,155,48.2,1,11,4,7697,9.59,201.43
2025-02-01,2025,2,Feb,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,72265,38036,238,70.8,3,13,5,13522,8.21,159.83
2025-02-01,2025,2,Feb,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Individual,Fundraising Event,37469,21536,207,51.7,3,6,3,8952,8.52,103.83
2025-02-01,2025,2,Feb,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Bank Transfer,29173,25146,176,49.8,2,5,2,6767,6.43,143.16
2025-02-01,2025,2,Feb,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,55083,24807,210,63.7,2,13,5,9462,8.61,118.08
2025-02-01,2025,2,Feb,Q1,0,Patna,Bihar,Education Support,Back to School Drive,Corporate CSR,Online Portal,67793,28769,161,53.6,2,12,6,8844,7.96,178.51
2025-02-01,2025,2,Feb,Q1,0,Patna,Bihar,Food Distribution,Meal Support Campaign,Corporate CSR,Online Portal,59192,35468,257,73.8,3,12,4,9439,7.55,138.05
2025-02-01,2025,2,Feb,Q1,0,Patna,Bihar,Menstrual Hygiene,Pad for Dignity Drive,Individual,Bank Transfer,30927,17635,160,41.0,2,6,2,6403,7.32,109.9
2025-02-01,2025,2,Feb,Q1,0,Patna,Bihar,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,50558,20688,174,61.5,2,10,5,7226,8.49,118.66
2025-02-01,2025,2,Feb,Q1,0,Patna,Bihar,Health Awareness,Community Wellness Camp,Individual,Online Portal,34590,19841,213,65.1,2,6,3,6564,4.62,92.96
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Education Support,Back to School Drive,Corporate CSR,UPI,76422,25734,146,54.4,2,14,5,10441,5.94,176.84
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Food Distribution,Meal Support Campaign,Individual,Fundraising Event,37019,30927,240,67.6,2,7,3,9444,6.72,128.99
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Corporate CSR,Fundraising Event,58256,19351,173,54.7,2,11,5,8514,4.79,111.97
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Online Portal,51945,19934,175,62.5,2,11,5,9896,7.13,113.61
2025-02-01,2025,2,Feb,Q1,0,Bhopal,Madhya Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Fundraising Event,43656,19018,208,57.2,2,7,3,10012,6.57,91.62
2025-03-01,2025,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Education Support,Back to School Drive,Corporate CSR,Bank Transfer,103014,40000,225,76.8,2,23,8,13256,6.97,178.16
2025-03-01,2025,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Food Distribution,Meal Support Campaign,Corporate CSR,Bank Transfer,100855,51791,379,109.7,4,18,8,19976,7.13,136.61
2025-03-01,2025,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,Online Portal,44446,29100,236,63.8,2,9,4,10768,4.7,123.24
2025-03-01,2025,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Corporate CSR,UPI,80091,29958,256,79.9,3,15,5,13639,4.21,116.85
2025-03-01,2025,3,Mar,Q1,0,Kanpur,Uttar Pradesh,Health Awareness,Community Wellness Camp,Corporate CSR,Online Portal,89291,31905,308,78.3,3,16,5,14036,6.34,103.42
2025-03-01,2025,3,Mar,Q1,0,Delhi,Delhi,Education Support,Back to School Drive,Community Group,Online Portal,74358,40174,210,82.9,2,15,5,10882,6.97,191.41
2025-03-01,2025,3,Mar,Q1,0,Delhi,Delhi,Food Distribution,Meal Support Campaign,Corporate CSR,Bank Transfer,84441,46043,319,109.7,3,20,8,13997,4.46,144.51
2025-03-01,2025,3,Mar,Q1,0,Delhi,Delhi,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,50694,25573,232,73.0,2,10,4,11376,4.74,110.09
2025-03-01,2025,3,Mar,Q1,0,Delhi,Delhi,Clothing Support,Warmth and Dignity Drive,Corporate CSR,Bank Transfer,78499,28827,258,67.9,2,13,6,14048,3.29,111.84
2025-03-01,2025,3,Mar,Q1,0,Delhi,Delhi,Health Awareness,Community Wellness Camp,Corporate CSR,UPI,71919,28959,272,86.3,3,14,6,12746,7.31,106.27
2025-03-01,2025,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Education Support,Back to School Drive,Alumni Network,UPI,56763,34540,202,68.9,3,13,6,8844,6.27,170.8
2025-03-01,2025,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Food Distribution,Meal Support Campaign,Alumni Network,UPI,47089,42043,270,92.1,2,12,6,11038,4.73,155.97
2025-03-01,2025,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Menstrual Hygiene,Pad for Dignity Drive,Individual,UPI,44211,22645,215,52.7,3,7,3,9563,3.46,105.55
2025-03-01,2025,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Clothing Support,Warmth and Dignity Drive,Alumni Network,Fundraising Event,37769,24575,193,56.7,2,7,2,9261,6.51,127.23
2025-03-01,2025,3,Mar,Q1,0,Lucknow,Uttar Pradesh,Health Awareness,Community Wellness Camp,Community Group,Fundraising Event,50838,26773,256,63.6,3,11,3,12019,7.54,104.42
2025-03-01,2025,3,Mar,Q1,0,Jaipur,Rajasthan,Education Support,Back to School Drive,Individual,Online Portal,50597,33784,175,69.1,2,10,4,7900,7.2,192.57
2025-03-01,2025,3,Mar,Q1,0,Jaipur,Rajasthan,Food Distribution,Meal Support Campaign,Individual,Bank Transfer,38476,36485,238,84.9,2,8,4,9012,4.09,153.21
2025-03-01,2025,3,Mar,Q1,0,Jaipur,Rajasthan,Menstrual Hygiene,Pad for Dignity Drive,Alumni Network,Bank Transfer,40927,19101,201,49.1,2,7,2,9335,4.16,94.89
2025-03-01,2025,3,Mar,Q1,0,Jaipur,Rajasthan,Clothing Support,Warmth and Dignity Drive,Individual,Fundraising Event,37190,23729,178,54.1,2,6,3,6735,8.34,133.01
2025-03-01,2025,3,Mar,Q1,0,Jaipur,Rajasthan,Health Awareness,Community Wellness Camp,Individual,Bank Transfer,30593,23719,241,73.2,2,6,2,6505,3.72,98.44
